,src,to,weights,weight_rank
214,resp1645,resp5285,0.48,1.0
215,resp165,resp5481,0.72,1.0
216,resp1651,resp3259,0.6857142857142857,1.0
217,resp1652,resp5810,0.5538461538461539,1.0
218,resp1652,resp5822,0.4430769230769231,2.0
219,resp1661,resp1371,0.48,1.0
220,resp1662,resp1561,0.3692307692307693,1.0
221,resp1663,resp573,0.1408695652173913,8.0
222,resp1663,resp756,0.4695652173913044,1.0
223,resp1669,resp4759,0.6646153846153847,1.0
224,resp167,resp1559,0.42,4.0
225,resp1675,resp195,0.06,5.0
226,resp1676,resp410,0.04235294117647058,9.0
227,resp168,resp1559,0.3692307692307693,5.0
228,resp1685,resp5,0.3085714285714285,4.0
229,resp1686,resp3834,0.6461538461538461,1.0
230,resp1687,resp534,0.4571428571428571,1.0
231,resp17,resp4935,0.06315789473684211,21.0
232,resp1701,resp1210,0.255,1.0
233,resp1704,resp6257,0.48,1.0
234,resp171,resp4417,0.5684210526315789,1.0
235,resp1711,resp4452,0.56,1.0
236,resp1716,resp1379,0.055000000000000014,7.0
237,resp1718,resp3180,0.3692307692307693,2.0
238,resp1719,resp4771,0.5333333333333333,1.0
239,resp172,resp4181,0.43200000000000005,1.0
240,resp1720,resp1559,0.048,15.0
241,resp1725,resp2915,0.48,1.0
242,resp173,resp2250,0.16875,4.0
243,resp1730,resp410,0.6171428571428571,2.0
244,resp1731,resp4033,0.225,1.0
245,resp1736,resp1559,0.07200000000000001,13.0
246,resp1739,resp965,0.18,4.0
247,resp1743,resp5970,0.4173913043478261,2.0
248,resp1745,resp5846,0.64,1.0
249,resp1761,resp3608,0.15,9.0
250,resp1763,resp3608,0.12,10.0
251,resp1771,resp1379,0.075,6.0
252,resp1778,resp11,0.054545454545454536,13.0
253,resp1780,resp1358,0.45,1.0
254,resp1783,resp2865,0.28800000000000003,2.0
255,resp1785,resp2950,0.03692307692307692,21.0
256,resp179,resp3194,0.6821052631578947,2.0
257,resp1790,resp3301,0.5142857142857142,1.0
258,resp1796,resp4571,0.23142857142857146,6.0
259,resp1797,resp1332,0.05,1.0
260,resp1797,resp5408,0.4,1.0
261,resp1804,resp2831,0.21333333333333326,3.0
262,resp1818,resp1944,0.10285714285714287,5.0
263,resp1829,resp4643,0.5142857142857142,2.0
264,resp1830,resp2954,0.10285714285714287,15.0
265,resp1831,resp5123,0.162,4.0
266,resp184,resp2954,0.12857142857142856,14.0
267,resp1841,resp1038,0.6,2.0
268,resp1842,resp2373,0.4363636363636363,8.0
269,resp1844,resp5032,0.26181818181818184,2.0
270,resp1845,resp4417,0.18,6.0
271,resp1845,resp930,0.27,3.0
272,resp1846,resp5727,0.36,4.0
273,resp1850,resp35,0.048,11.0
274,resp1851,resp4166,0.08727272727272728,7.0
275,resp1855,resp2903,0.18,8.0
276,resp1861,resp5850,0.43200000000000005,1.0
277,resp1865,resp4643,0.24545454545454545,6.0
278,resp1871,resp5584,0.20210526315789476,7.0
279,resp1872,resp947,0.15428571428571428,4.0
280,resp1880,resp132,0.29538461538461536,5.0
281,resp1888,resp28,0.12,2.0
282,resp1892,resp2072,0.045,8.0
283,resp1892,resp573,0.54,2.0
284,resp1894,resp4704,0.52,1.0
285,resp1895,resp1908,0.28,2.0
286,resp1897,resp3921,0.6211764705882353,1.0
287,resp1898,resp5484,0.084,11.0
288,resp1909,resp2373,0.4,9.0
289,resp1913,resp2903,0.4,3.0
290,resp1914,resp5870,0.36,1.0
291,resp1919,resp1299,0.05,1.0
292,resp1919,resp4606,0.225,1.0
293,resp1919,resp5262,0.15,1.0
294,resp1928,resp1687,0.66,1.0
295,resp1934,resp232,0.05,16.0
296,resp1937,resp4214,0.4,5.0
297,resp1939,resp4452,0.09,5.0
298,resp1939,resp5953,0.72,1.0
299,resp194,resp2373,0.126,15.0
300,resp1944,resp4571,0.3,4.0
301,resp195,resp689,0.56,1.0
302,resp1956,resp5873,0.21600000000000005,3.0
303,resp1960,resp2221,0.4615384615384615,1.0
304,resp1962,resp3448,0.64,1.0
305,resp1963,resp1960,0.5236363636363636,1.0
306,resp1964,resp4330,0.35000000000000003,1.0
307,resp1964,resp828,0.15750000000000006,3.0
308,resp1965,resp466,0.16363636363636366,4.0
309,resp1967,resp35,0.384,5.0
310,resp197,resp6078,0.18,5.0
311,resp1971,resp3015,0.3,2.0
312,resp1975,resp2834,0.09,10.0
313,resp1975,resp5788,0.27,6.0
314,resp1980,resp3614,0.72,1.0
