uid,function,hierarchy,region,operation
resp489,üzlet,E,országos szintű,Üzleti irányítás
resp490,HR,E,nyugati régió,Szolgáltatás
resp491,logisztika,E,országos szintű,Végrehajtás
resp492,üzlet,E,országos szintű,Végrehajtás
resp493,üzlet,E,országos szintű,Üzleti irányítás
resp494,ellenőrzés,MM,országos szintű,Társaságirányítás
resp495,üzlet,E,országos szintű,Végrehajtás
resp496,hálózat,TL,nyugati régió,Végrehajtás
resp497,IT,E,országos szintű,Szolgáltatás
resp498,logisztika,E,országos szintű,Végrehajtás
resp499,üzlet,E,országos szintű,Üzleti irányítás
resp500,hálózat,TL,központi régió,Végrehajtás
resp501,hálózat,MM,keleti régió,Végrehajtás
resp502,HR,E,országos szintű,Társaságirányítás
resp503,logisztika,E,országos szintű,Végrehajtás
resp504,logisztika,E,országos szintű,Üzleti irányítás
resp505,logisztika,E,országos szintű,Végrehajtás
resp506,HR,E,keleti régió,Végrehajtás
resp507,törzskari,E,országos szintű,Társaságirányítás
resp508,logisztika,E,keleti régió,Végrehajtás
resp509,hálózat,MM,nyugati régió,Végrehajtás
resp510,üzlet,E,országos szintű,Üzleti irányítás
resp511,logisztika,E,országos szintű,Végrehajtás
resp512,hálózat,TL,nyugati régió,Végrehajtás
resp513,IT,E,nyugati régió,Szolgáltatás
resp514,logisztika,TL,országos szintű,Végrehajtás
resp515,hálózat,MM,keleti régió,Végrehajtás
resp516,üzlet,E,országos szintű,Végrehajtás
resp517,logisztika,E,országos szintű,Végrehajtás
resp518,ellenőrzés,E,központi régió,Üzleti irányítás
resp519,hálózat,TL,keleti régió,Végrehajtás
resp520,logisztika,E,országos szintű,Végrehajtás
resp521,HR,E,központi régió,Szolgáltatás
resp522,hálózat,TL,nyugati régió,Végrehajtás
resp523,üzlet,E,országos szintű,Társaságirányítás
resp524,üzlet,E,országos szintű,Végrehajtás
resp525,üzlet,E,központi régió,Végrehajtás
resp526,IT,E,országos szintű,Szolgáltatás
resp527,biztonság,E,országos szintű,Társaságirányítás
resp528,üzlet,E,országos szintű,Üzleti irányítás
resp529,hálózat,TL,keleti régió,Végrehajtás
resp530,üzlet,E,országos szintű,Végrehajtás
resp531,logisztika,E,országos szintű,Végrehajtás
resp532,HR,E,országos szintű,Szolgáltatás
resp533,IT,E,országos szintű,Szolgáltatás
resp534,IT,MM,országos szintű,Szolgáltatás
resp535,hálózat,TL,központi régió,Végrehajtás
resp536,hálózat,TL,központi régió,Végrehajtás
resp537,IT,E,országos szintű,Szolgáltatás
