src,dst,final_weights
resp1053,resp3705,0.075
resp1053,resp4141,0.075
resp1053,resp4145,0.6
resp1053,resp4701,0.075
resp1053,resp4771,0.22499999999999998
resp1053,resp4786,0.075
resp1053,resp5622,0.075
resp1053,resp577,0.6
resp1053,resp5974,0.3375
resp1053,resp6038,0.075
resp1053,resp6187,0.075
resp1054,resp213,0.09999999999999999
resp1054,resp3035,0.09999999999999999
resp1054,resp3995,0.09999999999999999
resp1054,resp5470,0.09999999999999999
resp1054,resp5839,0.3
resp1056,resp1185,0.065
resp1056,resp1487,0.195
resp1056,resp1523,0.065
resp1056,resp262,0.065
resp1056,resp2648,0.065
resp1056,resp2831,0.065
resp1056,resp2877,0.195
resp1056,resp3545,0.6499999999999999
resp1056,resp4367,0.065
resp1056,resp437,0.065
resp1056,resp4789,0.065
resp1056,resp6064,0.2925
resp1056,resp6081,0.52
resp1060,resp1156,0.05500000000000001
resp1060,resp1158,0.05500000000000001
resp1060,resp1210,0.2475
resp1060,resp2377,0.05500000000000001
resp1060,resp2461,0.2475
resp1060,resp2475,0.05500000000000001
resp1060,resp4720,0.2475
resp1060,resp4962,0.44000000000000006
resp1060,resp5580,0.05500000000000001
resp1060,resp6009,0.2475
resp1060,resp6113,0.2475
resp1062,resp1607,0.24545454545454545
resp1062,resp2954,0.16363636363636364
resp1062,resp4418,0.43636363636363634
resp1062,resp4436,0.05454545454545454
resp1062,resp6028,0.05454545454545454
resp1066,resp1472,0.06
resp1066,resp188,0.18
resp1066,resp4873,0.48
resp1066,resp5494,0.06
resp1067,resp3977,0.36
resp1067,resp4819,0.03
resp1067,resp5944,0.3
resp1069,resp2271,0.10285714285714287
resp1069,resp4372,0.15428571428571428
resp1069,resp4655,0.15428571428571428
resp1069,resp6233,0.4114285714285714
resp1070,resp3328,0.036000000000000004
resp1070,resp3627,0.432
resp1070,resp5975,0.162
resp1071,resp1376,0.09999999999999999
resp1071,resp2161,0.09999999999999999
resp1071,resp2824,0.09999999999999999
resp1071,resp4928,0.3
resp1071,resp5060,0.09999999999999999
resp1073,resp1534,0.3692307692307692
resp1073,resp2461,0.13846153846153844
resp1073,resp2746,0.04615384615384615
resp1073,resp3448,0.46153846153846145
resp1073,resp4935,0.04615384615384615
resp1074,resp19,0.26181818181818184
resp1074,resp2910,0.3272727272727273
resp1074,resp3428,0.09818181818181819
resp1078,resp1908,0.06666666666666667
resp1078,resp4377,0.06666666666666667
resp1078,resp5715,0.06666666666666667
resp1078,resp893,0.06666666666666667
resp1078,resp894,0.6666666666666666
resp1083,resp1210,0.09
resp1083,resp573,0.36
resp1084,resp188,0.18
resp1084,resp469,0.06
resp1084,resp5494,0.27
resp1085,resp2461,0.05333333333333333
resp1085,resp2855,0.05333333333333333
resp1085,resp3448,0.64
resp1085,resp4449,0.05333333333333333
resp1091,resp2438,0.08571428571428572
resp1091,resp27,0.3857142857142857
resp1091,resp3434,0.08571428571428572
resp1091,resp3536,0.2571428571428571
resp1091,resp4298,0.2571428571428571
resp1091,resp5045,0.08571428571428572
resp1091,resp5047,0.08571428571428572
resp1091,resp6025,0.08571428571428572
resp1091,resp716,0.08571428571428572
resp1091,resp876,0.08571428571428572
resp1094,resp2041,0.3272727272727273
resp1094,resp5164,0.3272727272727273
resp1094,resp5713,0.03272727272727273
resp1095,resp1717,0.22499999999999998
resp1095,resp1785,0.049999999999999996
resp1095,resp1969,0.22499999999999998
resp1095,resp2666,0.15
resp1095,resp2991,0.049999999999999996
resp1095,resp4592,0.6
resp1095,resp4840,0.15
resp1095,resp528,0.39999999999999997
resp1095,resp6255,0.049999999999999996
resp1095,resp64,0.049999999999999996
resp1096,resp1359,0.04
resp1096,resp2762,0.04
resp1096,resp3015,0.48
resp1096,resp3989,0.12
resp1096,resp6007,0.39999999999999997
resp1097,resp1307,0.24545454545454545
resp1097,resp1598,0.05454545454545454
resp1097,resp2163,0.16363636363636364
resp1097,resp4390,0.16363636363636364
resp1097,resp4523,0.24545454545454545
resp11,resp1325,0.065
resp11,resp1376,0.065
resp11,resp2824,0.065
resp11,resp2969,0.065
resp11,resp3414,0.6499999999999999
resp11,resp3822,0.065
resp11,resp3823,0.2925
resp11,resp4088,0.195
resp11,resp5488,0.065
resp11,resp5924,0.6499999999999999
resp11,resp597,0.065
resp11,resp845,0.065
resp11,resp96,0.065
resp110,resp3008,0.12
resp110,resp3781,0.12
resp110,resp3861,0.12
resp110,resp402,0.12
resp1101,resp1851,0.049999999999999996
resp1101,resp2300,0.22499999999999998
resp1101,resp3484,0.22499999999999998
resp1101,resp488,0.049999999999999996
resp1101,resp490,0.049999999999999996
resp1101,resp4935,0.6
resp1101,resp5390,0.15
resp1101,resp5800,0.049999999999999996
resp1101,resp6093,0.049999999999999996
resp1101,resp715,0.5
resp1104,resp1641,0.066
resp1104,resp1701,0.066
resp1104,resp2041,0.066
resp1104,resp3006,0.29700000000000004
resp1104,resp3014,0.066
resp1104,resp3067,0.198
resp1104,resp3620,0.066
resp1104,resp3749,0.198
resp1104,resp5153,0.792
resp1104,resp5873,0.066
resp1104,resp622,0.066
resp1105,resp1130,0.2742857142857143
resp1105,resp4926,0.4114285714285714
resp1105,resp5330,0.03428571428571429
resp1105,resp5351,0.15428571428571428
resp1111,resp1881,0.2025
resp1111,resp2747,0.045
resp1111,resp2820,0.2025
resp1111,resp3215,0.045
resp1111,resp4309,0.36
resp1111,resp4914,0.36
resp1116,resp1600,0.064
resp1116,resp2106,0.28800000000000003
resp1116,resp2339,0.064
resp1116,resp3005,0.28800000000000003
resp1116,resp3007,0.192
resp1116,resp4771,0.192
resp1116,resp494,0.064
resp1116,resp5786,0.192
resp1119,resp1791,0.06857142857142857
resp1119,resp2416,0.06857142857142857
resp1119,resp2581,0.06857142857142857
resp1119,resp4670,0.30857142857142855
resp1119,resp4953,0.06857142857142857
resp1119,resp5484,0.5485714285714286
resp1119,resp5913,0.06857142857142857
resp1119,resp910,0.20571428571428574
resp112,resp3193,0.24
resp1120,resp1355,0.4430769230769231
resp1120,resp2732,0.03692307692307692
resp1120,resp4113,0.36923076923076925
resp1120,resp6041,0.03692307692307692
resp1121,resp1334,0.14727272727272728
resp1121,resp2072,0.03272727272727273
resp1121,resp2654,0.09818181818181819
resp1121,resp2831,0.3927272727272727
resp1121,resp4778,0.3272727272727273
resp1121,resp534,0.3272727272727273
resp1122,resp3473,0.06
resp1122,resp4136,0.18
resp1122,resp5944,0.27
resp1123,resp4656,0.432
resp1123,resp5267,0.162
resp1123,resp5617,0.036000000000000004
resp1127,resp35,0.54
resp1127,resp725,0.045
resp1127,resp793,0.045
resp1128,resp2126,0.18
resp1128,resp235,0.18
resp1128,resp337,0.27
resp1128,resp5853,0.06
resp1129,resp1305,0.036000000000000004
resp1129,resp1311,0.162
resp1129,resp3892,0.432
resp1130,resp30,0.048
resp1130,resp3193,0.48
resp1130,resp5351,0.21600000000000003
resp1130,resp6075,0.048
resp1133,resp1136,0.22499999999999998
resp1133,resp1138,0.15
resp1133,resp1170,0.5
resp1133,resp1184,0.049999999999999996
resp1133,resp1191,0.6
resp1133,resp1210,0.049999999999999996
resp1133,resp2890,0.049999999999999996
resp1133,resp3142,0.049999999999999996
resp1133,resp4571,0.049999999999999996
resp1133,resp947,0.22499999999999998
resp1135,resp4365,0.11076923076923076
resp1135,resp4390,0.16615384615384615
resp1135,resp4543,0.4430769230769231
resp1135,resp6274,0.11076923076923076
resp1136,resp1133,0.20769230769230768
resp1136,resp1151,0.04615384615384615
resp1136,resp1155,0.04615384615384615
resp1136,resp1170,0.46153846153846145
resp1136,resp2034,0.20769230769230768
resp1138,resp1160,0.405
resp1138,resp1168,0.09
resp1138,resp1170,0.09
resp1138,resp1204,0.27
resp1138,resp1210,0.09
resp1138,resp1222,0.09
resp1138,resp2290,0.09
resp1138,resp3059,0.27
resp1138,resp3480,0.09
resp1138,resp3562,0.09
resp1138,resp5199,0.09
resp1138,resp6220,0.09
resp1139,resp1947,0.15
resp1139,resp2467,0.049999999999999996
resp1139,resp3711,0.39999999999999997
resp1139,resp4997,0.15
resp1139,resp5123,0.22499999999999998
resp114,resp1689,0.075
resp114,resp2726,0.075
resp114,resp2846,0.6
resp114,resp3340,0.075
resp114,resp3487,0.22499999999999998
resp114,resp3542,0.22499999999999998
resp114,resp3575,0.075
resp114,resp3755,0.075
resp114,resp3765,0.3375
resp114,resp3991,0.22499999999999998
resp114,resp4329,0.075
resp114,resp4774,0.075
resp114,resp541,0.22499999999999998
resp114,resp5635,0.075
resp114,resp6187,0.075
resp1142,resp3488,0.18
resp1143,resp1114,0.22499999999999998
resp1143,resp4604,0.075
resp1143,resp488,0.3375
resp1143,resp5169,0.075
resp1143,resp5562,0.075
resp1145,resp1183,0.12
resp1145,resp170,0.12
resp1145,resp3051,0.12
resp1145,resp5535,0.12
resp1146,resp1196,0.049999999999999996
resp1146,resp1198,0.5
resp1146,resp1947,0.049999999999999996
resp1146,resp3711,0.049999999999999996
resp1146,resp3832,0.39999999999999997
resp1146,resp4405,0.15
resp1146,resp5123,0.5
resp1146,resp6108,0.15
resp1146,resp812,0.049999999999999996
resp1146,resp997,0.15
resp1148,resp1163,0.07333333333333332
resp1148,resp1167,0.5866666666666666
resp1148,resp1204,0.21999999999999997
resp1148,resp1545,0.07333333333333332
resp1148,resp2249,0.07333333333333332
resp1148,resp3280,0.07333333333333332
resp1148,resp3447,0.07333333333333332
resp1148,resp5199,0.07333333333333332
resp1148,resp5303,0.21999999999999997
resp1148,resp6010,0.21999999999999997
resp1148,resp944,0.21999999999999997
resp115,resp4442,0.3
resp115,resp4754,0.135
resp1151,resp1133,0.2475
resp1151,resp1170,0.66
resp1151,resp1184,0.2475
resp1151,resp1190,0.2475
resp1151,resp1814,0.05500000000000001
resp1151,resp4237,0.16500000000000004
resp1151,resp4571,0.05500000000000001
resp1151,resp5237,0.05500000000000001
resp1151,resp5822,0.05500000000000001
resp1151,resp5913,0.05500000000000001
resp1151,resp767,0.16500000000000004
resp1152,resp1164,0.48
resp1152,resp1472,0.04
resp1152,resp4426,0.04
resp1152,resp4571,0.04
resp1152,resp51,0.39999999999999997
resp1152,resp545,0.32
resp1152,resp5810,0.18
resp1153,resp1147,0.08
resp1153,resp1545,0.08
resp1153,resp3480,0.36
resp1153,resp51,0.08
resp1159,resp1134,0.06545454545454546
resp1159,resp1208,0.7854545454545454
resp1159,resp2161,0.06545454545454546
resp1159,resp4298,0.06545454545454546
resp1159,resp4563,0.06545454545454546
resp1159,resp930,0.06545454545454546
resp1160,resp1138,0.64
resp1160,resp1156,0.08
resp1160,resp1460,0.08
resp1160,resp1996,0.08
resp1160,resp3574,0.08
resp1160,resp647,0.08
resp1161,resp1772,0.10500000000000001
resp1161,resp2249,0.10500000000000001
resp1161,resp2824,0.10500000000000001
resp1161,resp3447,0.31500000000000006
resp1161,resp3989,0.10500000000000001
resp1161,resp4643,0.10500000000000001
resp1161,resp6009,0.10500000000000001
resp1162,resp1161,0.05500000000000001
resp1162,resp2249,0.05500000000000001
resp1162,resp3152,0.55
resp1162,resp3480,0.05500000000000001
resp1162,resp3844,0.44000000000000006
resp1162,resp4880,0.16500000000000004
resp1162,resp4951,0.05500000000000001
resp1162,resp5731,0.16500000000000004
resp1162,resp6009,0.05500000000000001
resp1162,resp719,0.55
resp1162,resp907,0.05500000000000001
resp1163,resp2320,0.24
resp1163,resp2321,0.24
resp1166,resp1692,0.06
resp1166,resp3390,0.48
resp1166,resp344,0.18
resp1166,resp4643,0.06
resp1167,resp1138,0.10285714285714286
resp1167,resp1148,0.10285714285714286
resp1167,resp1163,0.10285714285714286
resp1167,resp1204,0.10285714285714286
resp1167,resp5199,0.10285714285714286
resp1167,resp6010,0.30857142857142855
resp1169,resp1187,0.18
resp117,resp2376,0.09
resp117,resp2428,0.36
resp1170,resp1138,0.2571428571428571
resp1170,resp1151,0.3857142857142857
resp1170,resp1156,0.2571428571428571
resp1170,resp1184,0.08571428571428572
resp1170,resp1186,0.08571428571428572
resp1170,resp1191,0.08571428571428572
resp1170,resp1199,0.08571428571428572
resp1170,resp2461,0.08571428571428572
resp1170,resp4237,0.08571428571428572
resp1170,resp4643,0.08571428571428572
resp1172,resp1132,0.15999999999999998
resp1172,resp1159,0.05333333333333333
resp1172,resp1170,0.05333333333333333
resp1172,resp1208,0.5333333333333333
resp1173,resp1133,0.21600000000000003
resp1173,resp1188,0.14400000000000002
resp1173,resp1191,0.14400000000000002
resp1173,resp2647,0.21600000000000003
resp1173,resp2849,0.14400000000000002
resp1173,resp2974,0.14400000000000002
resp1173,resp3362,0.384
resp1173,resp5535,0.14400000000000002
resp1174,resp1085,0.06
resp1174,resp1289,0.06
resp1174,resp2461,0.06
resp1174,resp3283,0.18
resp1174,resp3411,0.18
resp1174,resp3448,0.6
resp1174,resp4935,0.27
resp1174,resp5913,0.06
resp118,resp235,0.04363636363636364
resp118,resp3494,0.04363636363636364
resp118,resp3973,0.3490909090909091
resp118,resp5835,0.43636363636363634
resp1181,resp1156,0.10285714285714286
resp1181,resp1165,0.10285714285714286
resp1181,resp1179,0.30857142857142855
resp1181,resp3480,0.10285714285714286
resp1181,resp4237,0.10285714285714286
resp1181,resp6009,0.10285714285714286
resp1183,resp1165,0.06545454545454546
resp1183,resp1188,0.6545454545454547
resp1183,resp1701,0.19636363636363638
resp1183,resp4541,0.06545454545454546
resp1183,resp5535,0.06545454545454546
resp1183,resp5618,0.06545454545454546
resp1184,resp1151,0.22153846153846152
resp1184,resp1170,0.3323076923076923
