uid,function,hierarchy,region,operation,clocent,bc_1,in_degree,out_degree,sum_degree,corporate,social,comm_qual,_n,sum_degree_sqrt,bxcx_sum_degree,bxcx_social,bxcx_corp,bxcx_commqual,bxcx_bc,bc_2,bxcx_bc2,const,_E,_MM,_TL,_TM,business_mng,corp_gov,implementation,service,log_comm_qual,management,mng_degree
resp488,hr,TL,west,service,0.8068969641952171,0.02949559262393218,11.0,23.0,34.0,39.0,47.0,4.666666666666667,12.0,1156.0,6.262443119351838,1.169693184493305,0.7200630449734237,601.7478116965717,-0.20126827120950275,37385.0,1.4572009005835336,3,0,0,1,0,0,0,0,1,1.540445040947149,1,0.0
resp490,hr,E,west,service,0.7744548723247582,0.009208841971553736,5.0,12.0,17.0,7.0,20.0,4.5,4.0,289.0,4.462229901248142,-0.014798605904865706,-0.9370462286978276,497.5131193294509,-0.467067957185932,11672.0,1.20235910327449,3,1,0,0,0,0,0,0,1,1.5040773967762742,0,0.0
resp494,control,MM,country-wide,corp_gov,0.8634243785949871,0.21615768327248414,8.0,32.0,40.0,120.0,57.0,4.517241379310343,30.0,1600.0,6.741437227964452,1.463765039598769,2.0856878534357137,507.564606251017,2.024082083909101,273975.0,1.893259195218088,3,0,1,0,0,0,1,0,0,1.5079014932146773,1,40.0
resp504,logistics,E,country-wide,business_mng,0.0,0.0,0.0,3.0,3.0,1.0,4.0,3.333333333333333,3.0,9.0,1.3009856682506291,-1.7310662348668957,-2.1044134033594597,103.4458280380994,-0.5894913775946455,0.0,-0.8479547481484687,3,1,0,0,0,1,0,0,0,1.203972804325936,0,0.0
resp514,logistics,TL,country-wide,implementation,0.8802079056879039,0.10593836971464976,13.0,15.0,28.0,28.0,33.0,4.625,17.0,784.0,5.7199526558499825,0.6563510678775492,0.3598066306609053,574.1726102166725,0.7553037109534941,134274.5,1.7371279074955142,3,0,0,1,0,0,0,1,0,1.5314763709643886,1,0.0
resp534,it,MM,country-wide,service,0.7844241674702508,0.02175344335501025,9.0,13.0,22.0,25.0,20.0,4.642857142857143,15.0,484.0,5.088611499610178,-0.014798605904865706,0.24096136636495544,585.8625931435836,-0.30208367446438245,27572.0,1.39054475004777,3,0,1,0,0,0,0,0,1,1.5353299402803786,1,22.0
resp536,network,TL,central,implementation,0.7923104948342516,0.005690041835062161,5.0,4.0,9.0,7.0,13.0,5.0,4.0,81.0,3.109040947554204,-0.5405678834908161,-0.9370462286978276,863.2179224407075,-0.5137148347124896,7212.0,1.0969662402639326,3,0,0,1,0,0,0,1,0,1.6094379124341003,1,0.0
resp541,network,E,west,business_mng,0.8558955632636712,0.05808229337404412,11.0,12.0,23.0,3.0,21.0,4.888888888888889,9.0,529.0,5.201579642128343,0.04775023713926032,-1.5477982271506985,767.5005240598243,0.16452024071657706,73618.0,1.6055513204915055,3,1,0,0,0,1,0,0,0,1.586965056582042,0,0.0
resp545,security,TM,country-wide,service,0.8306111896440754,0.029512160965382037,12.0,14.0,26.0,13.0,11.0,4.333333333333333,6.0,676.0,5.521067611615491,-0.7316154103339412,-0.4008765775855505,408.38525237872636,-0.20105341585036204,37406.0,1.4573238348519948,3,0,0,0,1,0,0,0,1,1.466337068793427,1,26.0
resp546,control,E,east,business_mng,0.0,0.0,0.0,6.0,6.0,11.0,12.0,4.75,4.0,36.0,2.3716096837996274,-0.633006371520259,-0.5526003703791776,660.1120601008688,-0.5894913775946455,0.0,-0.8479547481484687,3,1,0,0,0,1,0,0,0,1.55814461804655,0,0.0
