,index,src,to,to_hierarchy,src_hierarchy,clocent,weights,clo_rank,weight_rank,optimal
116,147,resp1325,resp2373,TL,E,0.7586130982796108,0.06545454545454546,16.0,18.0,False
117,148,resp1329,resp4261,TL,E,0.7392214135388718,0.09,3.0,5.0,False
118,149,resp133,resp1908,TL,E,0.769149391311272,0.4320000000000001,5.0,1.0,False
119,151,resp1332,resp947,MM,TL,0.7484299072060009,0.6,1.0,1.0,True
120,152,resp1334,resp1121,TM,MM,0.7665955117441814,0.64,3.0,1.0,False
121,153,resp1339,resp1043,TL,E,0.7378935796731165,0.3150000000000001,1.0,2.0,False
122,154,resp1340,resp6257,TL,E,0.8122949369487527,0.42,2.0,2.0,True
123,155,resp1341,resp5047,TL,E,0.719283289068225,0.72,2.0,1.0,False
124,158,resp1349,resp3365,MM,TL,0.7746744720050014,0.14,2.0,1.0,False
125,159,resp1353,resp1224,TL,E,0.8554018210287907,0.18,2.0,3.0,False
126,160,resp1354,resp3797,TL,E,0.6965821911200136,0.12,5.0,5.0,True
127,162,resp1357,resp3849,MM,TL,0.7804638351656705,0.1125,1.0,1.0,True
128,163,resp1357,resp4544,MM,TL,0.7804638351656705,0.45,1.0,1.0,True
129,164,resp1358,resp4571,TM,MM,0.874805839877566,0.055000000000000014,9.0,17.0,False
130,165,resp1359,resp3015,MM,TL,0.6960261486826815,0.18,3.0,3.0,True
131,166,resp137,resp3673,MM,TL,0.7290243196631457,0.5142857142857142,2.0,1.0,False
132,167,resp1373,resp4774,TL,E,0.807572757297558,0.4,8.0,5.0,False
133,168,resp1374,resp4308,TL,E,0.7818811630741271,0.48,6.0,3.0,False
134,169,resp1376,resp2824,TM,TM,0.8448235750979657,0.6260869565217391,1.0,1.0,True
135,170,resp1377,resp91,MM,TL,0.7186055774681439,0.18,2.0,5.0,False
136,171,resp1380,resp4169,TL,E,0.8709017016058778,0.04,4.0,13.0,False
137,172,resp1382,resp930,TL,E,0.7708487613145927,0.135,8.0,7.0,False
138,173,resp1386,resp413,TL,E,0.7984856460434425,0.5142857142857142,1.0,1.0,True
139,175,resp1389,resp1477,TL,E,0.7945379200051297,0.6,1.0,1.0,True
140,178,resp140,resp35,MM,TL,0.707031565410587,0.14400000000000002,5.0,8.0,False
141,181,resp1413,resp169,TL,E,0.7681761951181325,0.32,6.0,4.0,False
142,182,resp1413,resp4923,TL,E,0.7681761951181325,0.48,4.0,2.0,False
143,184,resp1418,resp3545,TL,E,0.8468701525272964,0.4400000000000001,3.0,6.0,False
144,185,resp1419,resp2950,TL,E,0.9143302001129981,0.065,1.0,15.0,False
145,186,resp1423,resp1559,TL,E,0.7720474673900636,0.72,3.0,1.0,False
